1621385700000,3365.69000000,3369.08000000,3349.31000000,3354.13000000,3067.60054000,1621385999999,10299734.06923470,5808,1507.93516000,5063293.90121220,0
1621386000000,3354.14000000,3354.90000000,3333.23000000,3340.67000000,4266.85373000,1621386299999,14263236.92596360,6933,1722.90118000,5760278.09410490,0
1621386300000,3340.98000000,3342.89000000,3326.59000000,3327.55000000,3292.65605000,1621386599999,10976324.76074360,5080,1505.63404000,5020392.21428760,0
1621386600000,3327.98000000,3327.98000000,3293.70000000,3294.27000000,7900.84633000,1621386899999,26146625.91937170,15151,3114.00639000,10310521.33246090,0
1621386900000,3294.27000000,3311.48000000,3261.64000000,3271.49000000,11824.28474000,1621387199999,38790030.12394650,16535,5895.69633000,19335768.45334970,0
1621387200000,3271.49000000,3278.39000000,3233.31000000,3253.82000000,11437.63072000,1621387499999,37227201.08392860,18148,4827.79488000,15721654.14326500,0
1621387500000,3253.81000000,3276.88000000,3251.44000000,3254.18000000,5930.89353000,1621387799999,19358919.65363370,8940,2772.95724000,9050991.41821350,0
1621387800000,3254.18000000,3269.22000000,3242.63000000,3246.86000000,6192.15614000,1621388099999,20144942.75269140,9108,3269.69610000,10639171.02302460,0
1621388100000,3246.86000000,3246.86000000,3209.00000000,3235.68000000,11175.12663000,1621388399999,36018105.05260300,15872,4318.98289000,13922899.85032180,0
1621388400000,3235.68000000,3237.48000000,3211.19000000,3215.72000000,6179.04275000,1621388699999,19922395.77227700,8954,2587.53430000,8342585.88523020,0
1621388700000,3216.03000000,3226.71000000,3170.00000000,3185.93000000,15239.89324000,1621388999999,48691177.35423590,23975,4700.94087000,15014709.22488300,0
1621389000000,3185.63000000,3218.57000000,3157.00000000,3191.24000000,11555.07845000,1621389299999,36852231.70292650,18291,5691.13958000,18158984.52839880,0
1621389300000,3191.24000000,3218.90000000,3180.00000000,3188.24000000,8186.51613000,1621389599999,26211304.47743720,12673,4045.67151000,12953001.06374250,0
1621389600000,3188.21000000,3238.14000000,3177.97000000,3228.30000000,8977.35616000,1621389899999,28840414.54879180,13735,4830.42195000,15523351.30919230,0
1621389900000,3228.30000000,3232.00000000,3184.23000000,3193.23000000,8499.01764000,1621390199999,27253255.74134880,12939,4036.48652000,12941410.17165670,0
1621390200000,3193.24000000,3205.51000000,3177.38000000,3180.00000000,7243.62470000,1621390499999,23102812.51593550,11470,3576.51533000,11404341.07672970,0
1621390500000,3179.99000000,3196.47000000,3156.85000000,3157.59000000,8384.09133000,1621390799999,26605622.00938580,13585,4040.80808000,12822314.91068590,0
1621390800000,3157.58000000,3199.00000000,3156.03000000,3191.22000000,8269.69833000,1621391099999,26320182.69138180,12568,4478.66240000,14259834.17147610,0
1621391100000,3191.41000000,3192.19000000,3162.43000000,3172.74000000,6299.27674000,1621391399999,19995292.97836240,11194,2843.09830000,9023671.53512210,0
1621391400000,3172.74000000,3191.96000000,3158.00000000,3159.35000000,8201.74365000,1621391699999,26035142.17079340,11808,3679.16686000,11675219.35392550,0
1621391700000,3160.35000000,3190.00000000,3150.06000000,3181.70000000,8463.85367000,1621391999999,26854859.29599250,12463,4330.04975000,13740603.31898250,0
1621392000000,3181.69000000,3194.58000000,3174.00000000,3193.25000000,5802.10082000,1621392299999,18483711.23633880,9182,2996.73472000,9545890.36936000,0
1621392300000,3193.00000000,3193.41000000,3171.76000000,3174.18000000,5209.02919000,1621392599999,16578754.60308300,9329,2862.24700000,9110473.31058670,0
1621392600000,3174.07000000,3184.67000000,3135.50000000,3137.48000000,9723.58191000,1621392899999,30674734.32139360,15585,3869.05571000,12205904.84364060,0
