1620991800000,50711.89000000,50811.15000000,50558.01000000,50811.15000000,177.12807500,1620992699999,8973208.08486832,7194,66.36874400,3363167.31668203,0
1620992700000,50811.15000000,50814.35000000,50565.00000000,50615.72000000,109.29371200,1620993599999,5534916.49210218,5671,50.06278900,2535304.78579749,0
1620993600000,50615.73000000,50695.19000000,50453.46000000,50481.02000000,197.97027100,1620994499999,10008445.46336081,8368,100.59017900,5085879.73393511,0
1620994500000,50481.02000000,50550.00000000,50321.58000000,50415.84000000,151.41811200,1620995399999,7633775.51486005,6306,81.80536100,4124494.54898188,0
1620995400000,50410.36000000,50521.01000000,50358.22000000,50451.31000000,144.28913400,1620996299999,7276712.91137561,5991,73.81578100,3722719.80261381,0
1620996300000,50455.63000000,50600.00000000,50311.06000000,50389.36000000,163.24331500,1620997199999,8230321.70802805,7059,62.33177900,3142867.79569516,0
1620997200000,50389.36000000,50479.00000000,50239.72000000,50315.10000000,188.27413800,1620998099999,9479267.63442873,6773,108.55806200,5465914.24652718,0
1620998100000,50315.50000000,50436.94000000,50127.78000000,50424.01000000,147.40623500,1620998999999,7412888.71638692,7274,79.90075900,4018064.68758842,0
1620999000000,50424.02000000,50906.12000000,50415.63000000,50702.63000000,303.37157400,1620999899999,15371843.16563184,10135,166.40454800,8423646.88062184,0
1620999900000,50702.63000000,51051.55000000,50636.36000000,51013.51000000,254.34827400,1621000799999,12953871.67908549,9264,146.72462200,7472890.52655048,0
1621000800000,51013.51000000,51024.36000000,50732.73000000,50800.40000000,255.53574400,1621001699999,12992289.75871479,8279,148.51972100,7550700.89333046,0
1621001700000,50800.39000000,50845.92000000,50619.38000000,50650.01000000,163.78277900,1621002599999,8305292.16011291,6770,84.05705600,4262513.59006936,0
1621002600000,50650.00000000,50825.86000000,50567.06000000,50614.50000000,225.41275800,1621003499999,11428238.99704983,7619,101.01075600,5119276.06876542,0
1621003500000,50609.75000000,50991.97000000,50597.00000000,50941.47000000,240.84820700,1621004399999,12237881.08759559,7902,140.10883100,7116339.22665651,0
1621004400000,50941.47000000,51500.73000000,50941.46000000,51414.86000000,454.30585800,1621005299999,23330299.39244522,12457,218.13052900,11197333.02608050,0
1621005300000,51414.86000000,51564.47000000,51225.73000000,51429.23000000,230.02107200,1621006199999,11831334.96967583,8336,120.06271300,6174989.63010308,0
1621006200000,51433.20000000,51491.61000000,51290.24000000,51290.25000000,151.52154900,1621007099999,7782971.64517733,7209,73.72204300,3786709.87039232,0
1621007100000,51290.26000000,51356.15000000,51130.49000000,51304.55000000,170.26104100,1621007999999,8722847.90660171,7523,83.35617000,4270881.43345414,0
1621008000000,51304.54000000,51400.00000000,51138.04000000,51209.84000000,189.82910200,1621008899999,9729734.86883275,8017,91.90014600,4710367.38973162,0
1621008900000,51209.84000000,51377.74000000,51032.42000000,51101.64000000,184.03247500,1621009799999,9426613.67206220,7197,67.85065300,3474888.66354259,0
1621009800000,51101.65000000,51258.76000000,50760.01000000,50806.13000000,208.97672500,1621010699999,10652684.17022509,8622,80.67894300,4115628.77620429,0
1621010700000,50806.13000000,51044.39000000,50806.12000000,50889.72000000,136.05337900,1621011599999,6929868.40655727,6530,68.34350600,3481012.61562690,0
1621011600000,50889.73000000,51103.12000000,50814.20000000,50931.06000000,205.01579700,1621012499999,10453298.67469756,7836,112.54882500,5739030.14785598,0
1621012500000,50931.05000000,50962.35000000,50800.00000000,50800.00000000,97.72499700,1621013399999,4970291.58112002,5185,48.40691300,2462019.47655247,0
1621013400000,50800.00000000,50897.95000000,50614.69000000,50734.56000000,165.57828500,1621014299999,8399714.55995162,7011,85.36580700,4330175.30968219,0
1621014300000,50734.56000000,50777.96000000,50628.76000000,50640.75000000,106.00114400,1621015199999,5375816.42171651,4733,50.57150600,2564665.46090328,0
1621015200000,50640.66000000,50743.15000000,50585.47000000,50723.68000000,115.98877500,1621016099999,5878461.58836976,5475,55.99561900,2837868.13490758,0
1621016100000,50723.69000000,50782.59000000,50400.75000000,50450.93000000,242.63306900,1621016999999,12288429.15679176,7001,129.47734400,6556386.55891796,0
1621017000000,50452.67000000,50681.80000000,50403.16000000,50445.66000000,221.18420300,1621017899999,11176481.80852154,6718,104.07839300,5259139.86798145,0
1621017900000,50445.66000000,50664.87000000,50410.30000000,50524.26000000,208.30938500,1621018799999,10528619.68297339,7389,98.54108800,4980762.44048476,0
1621018800000,50526.84000000,50536.07000000,50144.10000000,50263.22000000,179.56751600,1621019699999,9040038.23628876,6919,81.74504900,4115102.01475151,0
1621019700000,50260.16000000,50406.77000000,50189.21000000,50231.50000000,142.38661300,1621020599999,7162442.89579510,5310,60.15222700,3025391.28790253,0
1621020600000,50234.03000000,50424.36000000,50234.03000000,50327.87000000,102.36727300,1621021499999,5152792.99864225,4978,49.20896100,2477036.80322711,0
1621021500000,50327.87000000,50327.87000000,50157.19000000,50191.91000000,132.86193200,1621022399999,6675022.37358372,4499,61.23454500,3076511.06030024,0
1621022400000,50193.35000000,50344.37000000,50166.52000000,50297.29000000,137.05678600,1621023299999,6889639.56333338,4438,60.21225800,3026807.38390097,0
1621023300000,50303.67000000,50303.67000000,49724.79000000,49806.05000000,220.28356700,1621024199999,11014130.67374814,7314,80.89770700,4044707.34913787,0
1621024200000,49806.05000000,49812.84000000,49316.03000000,49527.62000000,363.51086100,1621025099999,18006726.77980952,11627,180.50662900,8941635.91111920,0
1621025100000,49531.82000000,49729.15000000,49100.00000000,49194.44000000,280.09049900,1621025999999,13831038.69550152,9088,122.12033600,6030508.71417109,0
