odid	display_name	release_date	release_pattern	distributor	movie_url	production_year	running_time	sequel	opening_weekend_revenue	opening_weekend_theaters	maximum_theaters	theatrical_engagements	domestic_dvd_units	domestic_dvd_spending	domestic_bluray_units	domestic_bluray_spending	creative_type	source	production_method	genre	production_budget	domestic_box_office	international_box_office	inflation_adjusted_domestic_box_	franchise	video_rental_spending	rating	reason	production_company1	production_company2	production_company3	imdbid	movieId	imdb_moviemeter	imdb_rating	imdb_votes
10100	Titanic	2012-04-04	Wide	Paramount Pictures	Titanic	1997	194	0	28638131	2674	3265	87202					Historical Fiction	Original Screenplay	Live Action	Thriller/Suspense	200000000	658672302	1548943366	1147349023			PG-13	for disaster related peril and violence, nudity, sensuality and brief language	20th Century Fox	Paramount Pictures	Lightstorm Entertainment	120338	1721			
20100	The Dark Knight	2008-07-18	Wide	Warner Bros.	Dark-Knight-The	2008	152	1	158411483	4366	4366	39170	19536693	282265125	2608851	33524092	Super Hero	Based on Comic/Graphic Novel	Live Action	Action	185000000	533345358	469546000	626080555	Batman	1253345	PG-13	for intense sequences of violence and some menace.	Legendary Pictures	Warner Bros.	Syncopy	468569	58559	55	8.9	469321
60100	Star Wars Ep. I: The Phantom Menace	2012-02-10	Wide	20th Century Fox	Star-Wars-Ep-I-The-Phantom-Menace	1999	133	1	64810970	2970	3126	47092					Science Fiction	Original Screenplay	Animation/Live Action	Adventure	115000000	474544677	552500000	761329663	Star Wars		PG	for sci-fi action/violence	Lucasfilm	20th Century Fox		120915	2628			
70100	Pirates of the Caribbean: Dead Man's Chest	2006-07-07	Wide	Walt Disney	Pirates-of-the-Caribbean-Dead-Mans-Chest	2006	151	1	135634554	4133	4133	34395	19846571	320862849	152089	2601322	Fantasy	Based on Theme Park Ride	Live Action	Adventure	225000000	423315812	642900000	544817142	Pirates of the Caribbean		PG-13	for intense sequences of adventure violence, including frightening images	Walt Disney Pictures	Jerry Bruckheimer		383574	45722	662	7.3	151211
90100	Transformers: Revenge of the Fallen	2009-06-24	Wide	Paramount Pictures	Transformers-Revenge-of-the-Fallen	2009	149	1	108966307	4234	4293	28686	11092219	221996361	2380972	50083300	Science Fiction	Based on TV	Animation/Live Action	Action	210000000	402111870	434407829	451973742	Transformers	45377770	PG-13	for intense sequences of sci-fi action violence, language, some crude and sexual material, and brief drug material	DreamWorks Pictures	Paramount Pictures	Hasbro	1055369	69526		6	267588
140100	Jurassic Park	2013-04-05	Wide	Universal	Jurassic-Park	1993	126	0	50159460	2404	2778	49159					Science Fiction	Based on Fiction Book/Short Story	Animation/Live Action	Action	63000000	395708305	643104279	760802636	Jurassic Park		PG-13	for intense science fiction terror	Universal Pictures	Amblin Entertainment		107290	480			
160100	Finding Nemo	2012-09-14	Wide	Walt Disney	Finding-Nemo	2003	100	0	70251710	3374	3425	50008					Kids Fiction	Original Screenplay	Digital Animation	Adventure	94000000	380529370	555900000	518148559	Finding Nemo	361183	G		Disney-Pixar	Walt Disney Pictures		266543	6377			
170100	Spider-Man 3	2007-05-04	Wide	Sony Pictures	Spider-Man-3	2007	139	1	151116516	4252	4324	27819	7773659	125012910	42198	715195	Super Hero	Based on Comic/Graphic Novel	Live Action	Adventure	258000000	336530303	554345000	412347448	Spider-Man		PG-13	for sequences of intense action violence	Columbia Pictures	Marvel Studios	Laura Ziskin Productions	413300	52722	581	6.4	142092
190100	The Lion King	2011-09-16	Wide	Walt Disney	Lion-King-The	1994	87	0	1586753	2	2624	59212	3864958	91224660	2925309	87558552	Kids Fiction	Original Screenplay	Hand Animation	Adventure	79300000	422780140	564700000	761640898	The Lion King	79618	G		Walt Disney Pictures			110357	364			
200100	Shrek the Third	2007-05-17	Wide	Paramount Pictures	Shrek-the-Third	2007	92	1	121629270	4122	4172	28052	11980453	176566326	337	9878	Kids Fiction	Based on Fiction Book/Short Story	Digital Animation	Adventure	160000000	322719944	484610992	393333456	Shrek		PG	for some crude humor, suggestive content and swashbuckling action	DreamWorks Animation	PDI		413267	53121	1110	6.1	60108
210100	Transformers	2007-07-02	Wide	Paramount Pictures	Transformers-The	2007	142	0	70502384	4011	4050	25816	17141622	294944841	434970	7929415	Science Fiction	Based on TV	Animation/Live Action	Action	151000000	319246193	389026399	390955707	Transformers		PG-13	for intense sequences of sci-fi action violence, brief sexual humor, and language	DreamWorks Pictures	Paramount Pictures	Hasbro	418279	53996	227	7.3	198234
220100	Iron Man	2008-05-02	Wide	Paramount Pictures	Iron-Man	2008	126	0	102118668	4105	4154	33088	10957644	182016738	685408	14106332	Super Hero	Based on Comic/Graphic Novel	Live Action	Action	186000000	318604126	263839000	374051130	Iron Man	141980	PG-13	for some intense sequences of sci-fi action and violence, and brief suggestive content	Paramount Pictures	Marvel Studios	Marvel Studios	371746	59315	139	7.9	175708
240100	Indiana Jones and the Kingdom of the Crystal Skull	2008-05-22	Wide	Paramount Pictures	Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull	2008	123	1	100137835	4260	4264	29717	6138134	117107120			Historical Fiction	Original Screenplay	Live Action	Adventure	185000000	317023851	469534294	372306743	Indiana Jones		PG-13	for adventure violence and scary images.	Lucasfilm			367882	59615	613	6.6	135804
270100	Pirates of the Caribbean: At World's End	2007-05-24	Wide	Walt Disney	Pirates-of-the-Caribbean-At-Worlds-End	2007	167	1	114732820	4362	4362	26611	15491444	312277481	357655	6084278	Historical Fiction	Based on Theme Park Ride	Live Action	Adventure	300000000	309420425	654000000	379129960	Pirates of the Caribbean		PG-13	for intense sequences of action/adventure violence and some frightening images	Walt Disney Pictures	Jerry Bruckheimer		449088	53125	502	7	133986
310100	Harry Potter and the Half-Blood Prince	2009-07-15	Wide	Warner Bros.	Harry-Potter-and-the-Half-Blood-Prince	2009	153	1	77835727	4325	4455	27206	11570723	145511903	2558986	41496784	Fantasy	Based on Fiction Book/Short Story	Animation/Live Action	Adventure	250000000	301959197	633124489	339402135	Harry Potter	29633398	PG	for scary images, some violence, language and mild sensuality	Heyday Films			417741	69844		7.5	254216
330100	Harry Potter and the Order of the Phoenix	2007-07-11	Wide	Warner Bros.	Harry-Potter-and-the-Order-of-the-Phoenix	2007	138	1	77108414	4285	4285	26297	13107208	251765019	320796	4174205	Fantasy	Based on Fiction Book/Short Story	Animation/Live Action	Adventure	150000000	292004738	650939197	357790688	Harry Potter		PG-13	for sequences of fantasy violence and frightening images	Heyday Films			373889	54001	398	7.4	104704
340100	Up	2009-05-29	Wide	Walt Disney	Up	2009	89	0	68108790	3766	3886	30276	13228531	219665448	2414131	83174923	Fantasy	Original Screenplay	Digital Animation	Adventure	175000000	293004164	438538457	329336681		29916608	PG	for some peril and action	Walt Disney Pictures	Disney-Pixar		1049413	68954		8.3	487963
410100	The Hangover	2009-06-05	Wide	Warner Bros.	Hangover-The	2009	100	0	44979319	3269	3545	35788	12797471	199428840	3292935	54861247	Contemporary Fiction	Original Screenplay	Live Action	Comedy	35000000	277322503	188441583	311710496	Hangover	59403746	R	For pervasive language, sexual content including nudity, and some drug material	Warner Bros.	Legendary Pictures	Green Hat Films	1119646	69122		7.8	474324
470100	Star Trek	2009-05-08	Wide	Paramount Pictures	Star-Trek	2009	125	1	79204289	3849	4053	30077	8807759	115176648	3630984	82644999	Science Fiction	Based on TV	Live Action	Adventure	140000000	257730019	127950427	289688545	Star Trek	50344864	PG-13	for sci-fi action and violence, and brief sexual content	Bad Robot			796366	68358		8	439391
480100	I am Legend	2007-12-14	Wide	Warner Bros.	I-am-Legend	2007	100	0	77211321	3606	3648	24705	7714421	141250387	343643	3810395	Science Fiction	Based on Fiction Book/Short Story	Live Action	Horror	150000000	256393010	329139674	311582688			PG-13	for intense sequences of sci-fi action and violence	Village Roadshow Productions	Weed Road Pictures	Overbrook Entertainment	480249	56174	308	7.1	154734
490100	Monsters, Inc.	2012-12-19	Wide	Walt Disney	Monsters-Inc	2001	92	0	62577067	3237	3649	45411					Kids Fiction	Original Screenplay	Digital Animation	Adventure	115000000	289423425	270334294	416073179	Monsters, Inc.	791899	G		Walt Disney Pictures	Disney-Pixar		198781	4886			
510100	Night at the Museum	2006-12-22	Wide	20th Century Fox	Night-at-the-Museum	2006	108	0	30433781	3685	3768	35881	10179762	153560084			Kids Fiction	Based on Fiction Book/Short Story	Live Action	Comedy	110000000	250863268	328583139	314530373	Night at the Museum		PG	for mild action, language and brief rude humor	20th Century Fox	Ingenious Film Partners	1492 Pictures	477347	46972	1132	6.4	67548
560100	Cars	2006-06-09	Wide	Walt Disney	Cars	2006	116	0	60119509	3985	3988	30786	22776350	311473170	497888	13615913	Kids Fiction	Original Screenplay	Digital Animation	Comedy	70000000	244082982	217568264	314140384	Cars	20944	G		Disney-Pixar			317219	45517	589	7.5	67274
600100	Ghostbusters	2014-08-29	Wide	Sony Pictures	Ghostbusters	1984	107	0	13612564	1339	1506	35601					Fantasy	Original Screenplay	Live Action	Comedy	30000000	242212467	53000000	576147288	Ghostbusters	44459	PG		Columbia Pictures			87332	2716			
620100	X-Men: The Last Stand	2006-05-26	Wide	20th Century Fox	X-Men-The-Last-Stand	2006	104	1	102750665	3690	3714	20809	7415900	144871837	63222	1010510	Super Hero	Based on Comic/Graphic Novel	Live Action	Action	210000000	234362462	224997093	301629851	X-Men		PG-13	for intense sequences of action violence, some sexual content and language	20th Century Fox			376994	45499	711	6.9	109613
670100	Hancock	2008-07-01	Wide	Sony Pictures	Hancock	2008	92	0	62603879	3965	3965	22802	5916666	100001398	72897	732135	Super Hero	Original Screenplay	Live Action	Action	150000000	227946274	396287998	267630506	Hancock		PG-13	for some intense sequences of sci-fi action and violence, and language.	Blue Light	Columbia Pictures	Relativity Media	448157	60074	674	6.5	101529
680100	The Bourne Ultimatum	2007-08-03	Wide	Universal	Bourne-Ultimatum-The	2007	113	1	69283690	3660	3701	30169	8165765	126977479	139643	2232402	Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Thriller/Suspense	130000000	227471070	214690492	278718182	Bourne		PG-13	for violence and intense sequences of action				440963	54286	394	8.2	147639
700100	WALL-E	2008-06-27	Wide	Walt Disney	WALL-E	2008	100	0	63087526	3992	3992	31093	12496920	197467698			Science Fiction	Original Screenplay	Digital Animation	Adventure	180000000	223808164	308782830	262771918			G		Walt Disney Pictures	Disney-Pixar		910970	60069	322	8.5	184767
710100	National Treasure 2: Book of Secrets	2007-12-21	Wide	Walt Disney	National-Treasure-Book-of-Secrets	2007	124	1	44783772	3832	3832	27371	6659590	103175492	68631	1169797	Contemporary Fiction	Original Screenplay	Live Action	Adventure	0	219961501	237364303	267003525	National Treasure		PG	for some violence and action	Walt Disney Pictures	Jerry Bruckheimer Films	Junction Entertainment	465234	56775	875	6.5	60007
750100	The Da Vinci Code	2006-05-19	Wide	Sony Pictures	Da-Vinci-Code-The	2006	152	0	77073388	3735	3757	23270	6822237	100215702			Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Thriller/Suspense	125000000	217536138	550284321	279973990	Da Vinci Code	52747	PG-13	for disturbing images, violence, some nudity, thematic material, brief drug references and sexual content	Columbia Pictures	Imagine Entertainment	Brian Grazer Productions	382625	45447	986	6.4	117474
770100	Alvin and the Chipmunks	2007-12-14	Wide	20th Century Fox	Alvin-and-the-Chipmunks	2007	91	0	44307417	3475	3499	31341	8635033	138708106	76457	1031300	Kids Fiction	Based on TV	Animation/Live Action	Comedy	55000000	217326974	145278059	263027819	Alvin and the Chipmunks		PG	for some mild rude humor	Regency Enterprises			1231580	73042		4.4	24747
790100	Kung Fu Panda	2008-06-06	Wide	Paramount Pictures	Kung-Fu-Panda	2008	91	0	60239130	4114	4136	28198	10050725	145831563	64449	1665846	Kids Fiction	Original Screenplay	Digital Animation	Adventure	130000000	215434591	416475940	252940616	Kung Fu Panda	25598	PG	for sequences of martial arts action	DreamWorks Animation			441773	59784	659	7.7	71734
870100	Ratatouille	2007-06-29	Wide	Walt Disney	Ratatouille	2007	110	0	47027395	3940	3940	29675	14379955	189382771			Kids Fiction	Original Screenplay	Digital Animation	Comedy	150000000	206445654	420104041	252955933			G		Walt Disney Pictures	Disney-Pixar		382932	50872	539	8.1	133459
940100	Superman Returns	2006-06-28	Wide	Warner Bros.	Superman-Returns	2006	150	0	52535096	4065	4065	22200	7322008	85655833			Super Hero	Based on Comic/Graphic Novel	Live Action	Adventure	232000000	200120000	173965065	257559017	Superman		PG-13	for some intense action violence	Warner Bros.	Legendary Pictures	Jon Peters	348150	46530	888	6.6	103154
970100	Monsters vs. Aliens	2009-03-27	Wide	Paramount Pictures	Monsters-vs-Aliens	2009	95	0	59321095	4104	4136	30726	5931172	91231634	675606	23115727	Kids Fiction	Based on Comic/Graphic Novel	Digital Animation	Adventure	175000000	198351526	183335854	222947114		36418058	PG	For sci-fi action, some crude humor and mild language	DreamWorks Animation			892782	67408		6.6	93083
980100	Happy Feet	2006-11-17	Wide	Warner Bros.	Happy-Feet	2006	108	0	41533432	3804	3804	33408	15253220	206546318	196213	3725832	Kids Fiction	Original Screenplay	Digital Animation	Adventure	85000000	198000317	187000000	253470804			PG	for some mild peril and rude humor	Warner Bros.	Village Roadshow Productions	Kennedy Miller	366548	49274	1582	6.7	42616
1000100	Ice Age: The Meltdown	2006-03-31	Wide	20th Century Fox	Ice-Age-The-Meltdown	2006	91	1	68033544	3964	3969	27532	11027899	135346149	113687	2470325	Kids Fiction	Original Screenplay	Digital Animation	Adventure	75000000	195330621	456568661	251394975	Ice Age		PG	for some mild language and innuendo.	Twentieth Century Fox			438097	44022	1709	6.9	51309
1010100	Ice Age: Dawn of the Dinosaurs	2009-07-01	Wide	20th Century Fox	Ice-Age-Dawn-of-the-Dinosaurs	2009	93	1	41690382	4099	4102	24140	6454863	104234542	732863	16229583	Kids Fiction	Original Screenplay	Digital Animation	Adventure	90000000	196573705	663128152	220948842	Ice Age	40814806	PG	For some mild rude humor and peril	Blue Sky Studios			1080016	69644		7.1	127560
1040100	Twilight	2008-11-21	Wide	Summit Entertainment	Twilight-(2008)	2008	121	0	69637740	3419	3649	26720	13875530	238058535	454089	26738287	Fantasy	Based on Fiction Book/Short Story	Live Action	Drama	37000000	192769854	209510305	225536203	Twilight		PG-13	for some violence and a scene of sensuality	Temple Hill Entertainment	Maverick Films	Imprint Entertainment	1099212	63992	109	5.6	119940
1140100	The Simpsons Movie	2007-07-27	Wide	20th Century Fox	Simpsons-Movie-The	2007	86	0	74036787	3922	3926	23475	5833687	97582620			Contemporary Fiction	Based on TV	Digital Animation	Comedy	72500000	183135014	343936008	224393626			PG-13	for irreverent humor throughout	Gracie Films	Matt Groening		462538	54272	1240	7.6	118099
1230100	Madagascar: Escape 2 Africa	2008-11-07	Wide	Paramount Pictures	Madagascar-Escape-2-Africa	2008	89	1	63106589	4056	4065	27304	8273223	113369583	112357	2228548	Kids Fiction	Original Screenplay	Digital Animation	Comedy	150000000	180010950	419505894	211384172	Madagascar		PG	for some mild crude humor	DreamWorks Animation			479952	62999	1133	6.8	30541
1250100	X-Men Origins: Wolverine	2009-05-01	Wide	20th Century Fox	X-Men-Origins-Wolverine	2009	107	0	85058003	4099	4102	21995	5513365	85159704	1565307	31768901	Super Hero	Spin-Off	Live Action	Action	150000000	179883157	194942603	202188669	X-Men Origins	25033295	PG-13	for intense sequences of action and violence, and some partial nudity	20th Century Fox	Marvel Studios	Dune Entertainment	458525	68319		6.7	275269
1290100	Night at the Museum: Battle of the Smithsonian	2009-05-22	Wide	20th Century Fox	Night-at-the-Museum-Battle-of-the-Smithsonian	2009	105	1	54173286	4096	4101	25963	4413586	51720007	610993	11327450	Fantasy	Based on Fiction Book/Short Story	Live Action	Comedy	150000000	177243721	224987342	199221941	Night at the Museum	39704095	PG	For mild action and brief language	Twentieth Century Fox	1492 Pictures		1078912	68793		5.9	97691
1420100	Beauty and the Beast	2012-01-13	Wide	Walt Disney	Beauty-and-the-Beast	1991	85	0	162146	2	2625	44391	4424024	105995970	3149481	73258863	Fantasy	Based on Fiction Book/Short Story	Hand Animation	Musical	20000000	218951625	232470000	363017667			G		Walt Disney Animation Studios			101414	595			
1460100	Quantum of Solace	2008-11-14	Wide	Sony Pictures	Quantum-of-Solace	2008	106	1	67528882	3451	3501	21082	3275400	53218927	332632	7712984	Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Action	230000000	169368427	422323651	198726923	James Bond		PG-13	for intense sequences of violence and action, and some sexual content				830515	63113	352	6.8	94313
1470100	Wild Hogs	2007-03-02	Wide	Walt Disney	Wild-Hogs	2007	99	0	39699023	3287	3401	30570	5668314	92888939			Contemporary Fiction	Original Screenplay	Live Action	Comedy	60000000	168213584	85341799	206110533			PG-13	for crude and sexual content, and some violence.	Touchstone Pictures	Tollin/Robbins		486946	51575	1194	6	40245
1490100	Casino Royale	2006-11-17	Wide	Sony Pictures	Casino-Royale-(2006)	2006	144	1	40833156	3434	3443	23348	8885745	209039337	116007	1357175	Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Action	102000000	167365000	427055283	214371090	James Bond		PG-13	for intense sequences of violent action, a scene of torture, sexual content and nudity				381061	49272	299	8	173802
1590100	The Pursuit of Happyness	2006-12-15	Wide	Sony Pictures	Pursuit-of-Happyness-The	2006	117	0	26541709	2852	3169	25522	8404292	94028072			Dramatization	Based on Real Life Events	Live Action	Drama	55000000	162586036	144739597	205290319			PG-13	for some language	Columbia Pictures	Relativity Media	Overbrook Entertainment	454921	47099	619	7.8	78566
1600100	The Proposal	2009-06-19	Wide	Walt Disney	Proposal-The	2009	107	0	33627598	3056	3158	27355	7128336	109556251	264249	6521446	Contemporary Fiction	Original Screenplay	Live Action	Romantic Comedy	40000000	163958031	150751686	184288829		35517007	PG-13	For sexual content, nudity and language	Touchstone Pictures	Mandeville Films		1041829	69406		6.7	177890
1720100	Fast & Furious	2009-04-03	Wide	Universal	Fast-and-Furious-(2009)	2009	107	1	70950500	3461	3674	20543	4143648	66592294	935455	18235866	Contemporary Fiction	Based on Factual Book/Article	Live Action	Action	85000000	155064265	208000000	174292231	Fast and the Furious	3858520	PG-13	for intense sequences of violence and action, some sexual content, language and drug references	Universal Pictures			1433108	82744		6.5	71463
1730100	Over the Hedge	2006-05-19	Wide	Paramount Pictures	Over-the-Hedge	2006	84	0	38457003	4059	4093	24965	8535213	130425424			Kids Fiction	Based on Comic/Graphic Novel	Digital Animation	Comedy	80000000	155019340	188377907	199513434			PG	for some rude humor and mild comic action	DreamWorks Animation	Bonnie Arnold		327084	45431	1829	7	36413
1750100	Horton Hears a Who	2008-03-14	Wide	20th Century Fox	Horton-Hears-a-Who	2008	88	0	45012998	3954	3961	28853	6180633	83864559	32894	250698	Fantasy	Based on Fiction Book/Short Story	Digital Animation	Adventure	85000000	154529439	144948447	181432197			G	for General Audiences	20th Century Fox Animation	Blue Sky Studios		451079	58299	1365	7.2	31537
1810100	Sex and the City	2008-05-30	Wide	Warner Bros.	Sex-and-the-City	2008	145	0	56848056	3285	3325	18214	5148401	96027789	52327	732946	Contemporary Fiction	Based on TV	Live Action	Comedy	57500000	152647258	262600000	179222340	Sex and the City		R	for strong sexual content, graphic nudity and language.	New Line Cinema	HBO Films	Darren Star	1000774	59725	494	5.4	47098
1850100	Knocked Up	2007-06-01	Wide	Universal	Knocked-Up	2007	132	0	30690990	2871	2975	22390	6809076	121117089			Contemporary Fiction	Original Screenplay	Live Action	Romantic Comedy	27500000	148761765	70504187	182276402			R	for sexual content, drug use and language	Universal Pictures	Judd Apatow		478311	52973	347	7.5	111983
1870100	Talladega Nights: The Ballad of Ricky Bobby	2006-08-04	Wide	Sony Pictures	Talladega-Nights-The-Ballad-of-Ricky-Bobby	2006	104	0	47042215	3803	3807	24891	9102644	152843266	915	10518	Contemporary Fiction	Original Screenplay	Live Action	Comedy	73000000	148213377	14657148	190754006			PG-13	for crude and sexual humor, language, drug references and brief comic violence	Columbia Pictures	Relativity Media	Judd Apatow	415306	46970	666	6.4	50628
1910100	G.I. Joe: The Rise of Cobra	2009-08-07	Wide	Paramount Pictures	G-I-Joe	2009	118	0	54713046	4007	4007	24979	4715846	75557012	789963	15596124	Contemporary Fiction	Based on Toy	Animation/Live Action	Action	175000000	150201498	152267519	168826480	G.I. Joe	38343735	PG-13	For strong sequences of action violence and mayhem throughout	di Bonaventura Pictures	Paramount Pictures	Spyglass Entertainment	1046173	70336		5.8	152929
1920100	Paul Blart: Mall Cop	2009-01-16	Wide	Sony Pictures	Paul-Blart-Mall-Cop	2009	91	0	31832636	3144	3206	31646	3911303	57127717	109979	1770669	Contemporary Fiction	Original Screenplay	Live Action	Comedy	26000000	146336178	39568572	164481861	Paul Blart: Mall Cop		PG	for some violence, mild crude and suggestive humor, and language	Columbia Pictures	Relativity Media	Happy Madison	1114740	65802		5.2	67561
1960100	Taken	2009-01-30	Wide	20th Century Fox	Taken	2009	91	0	24717037	3183	3184	32702	5513126	80548597	679604	9650791	Contemporary Fiction	Original Screenplay	Live Action	Thriller/Suspense	25000000	145000989	81940596	162981110	Taken	357045	PG-13	for intense sequences of violence, disturbing thematic material, sexual content, some drug references and language	EuropaCorp	M6 Films	Grive Productions	1397280	96861			
2020100	Mamma Mia!	2008-07-18	Wide	Universal	Mamma-Mia	2008	108	0	27751240	2976	3194	25784	7842674	147617821	88334	1390270	Contemporary Fiction	Based on Musical or Opera	Live Action	Musical	52000000	144130063	458370497	169222345			PG-13	for some sex-related comments.	Universal Pictures	Littlestar	Playtone	795421	60397	631	6.5	46387
2040100	Marley & Me	2008-12-25	Wide	20th Century Fox	Marley-and-Me	2008	116	0	36357586	3480	3505	19051	4715969	72950583	61371	780432	Dramatization	Based on Fiction Book/Short Story	Live Action	Comedy	60000000	143153751	104658260	166248123			PG	for thematic material, some suggestive content and language	Fox 2000 Pictures	Regency Enterprises	Gil Netter Productions	1183919	97168			
2070100	The Chronicles of Narnia: Prince Caspian	2008-05-16	Wide	Walt Disney	Chronicles-of-Narnia-Prince-Caspian-The	2008	144	1	55034805	3929	3929	21333	6553753	100389400			Fantasy	Based on Fiction Book/Short Story	Animation/Live Action	Adventure	225000000	141621490	275719798	166277038	Chronicles of Narnia		PG	for epic battle action and violence.	Walt Disney Pictures	Walden Media	Mark Johnson	499448	59501	1073	6.9	46870
2150100	Rush Hour 3	2007-08-10	Wide	New Line	Rush-Hour-3	2007	91	1	49100158	3778	3778	23474	2274615	44511034			Contemporary Fiction	Original Screenplay	Live Action	Action	180000000	140125968	116459914	171695041	Rush Hour		PG-13	for sequences of action violence, sexual content, nudity and language	New Line Cinema	Arthur Sarkissian	Roger Birnbaum	293564	54648	1680	6	39517
2280100	Click	2006-06-23	Wide	Sony Pictures	Click	2006	106	0	40011365	3749	3764	20342	4922726	81325291			Fantasy	Original Screenplay	Live Action	Comedy	82500000	137355633	100329456	176759911			PG-13	for language, crude and sex-related humor, and some drug references.	Happy Madison	Revolution Studios	Columbia Pictures	389860	45672	936	6.7	77972
2380100	The Incredible Hulk	2008-06-13	Wide	Universal	Incredible-Hulk-The	2008	112	0	55414050	3505	3508	17582	4434769	68157071	355825	4986975	Super Hero	Based on Comic/Graphic Novel	Live Action	Adventure	137500000	134806913	128611000	158276082	Hulk		PG-13	for sequences of intense action violence, some frightening sci-fi images, and brief suggestive content.	Universal Pictures	Marvel Studios	Marvel Studios	800080	60040	472	7.1	83053
2390100	Live Free or Die Hard	2007-06-27	Wide	20th Century Fox	Live-Free-or-Die-Hard	2007	129	1	33369559	3408	3411	19053	6121678	101073580			Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Action	110000000	134529403	247758744	164837624	Die Hard	10366	PG-13	for intense sequences of violence and action, language and a brief sexual situation	20th Century Fox	Dune Entertainment	Ingenius Film Partners	337978	53972	435	7.5	131170
2400100	Wanted	2008-06-27	Wide	Universal	Wanted	2008	110	0	50927085	3175	3185	16374	4509923	74246342			Science Fiction	Based on Comic/Graphic Novel	Live Action	Action	75000000	134508551	207907909	157925774			R	for strong bloody violence throughout, pervasive language and some sexuality.	Universal Pictures	Spyglass Entertainment	Relativity Media	493464	60072	415	6.8	106531
2430100	Mission: Impossible III	2006-05-05	Wide	Paramount Pictures	Mission-Impossible-III	2006	126	1	47743273	4054	4059	21953	2891352	49918230	82367	1448545	Contemporary Fiction	Based on TV	Live Action	Action	150000000	133501348	264000000	171819291	Mission: Impossible		PG-13	for intense sequences of frenetic violence and menace, disturbing images and some sensuality	Cruise-Wagner			317919	45186	931	6.9	74592
2440100	Angels & Demons	2009-05-15	Wide	Sony Pictures	Angels-and-Demons	2009	138	1	46204168	3527	3527	20295	2265001	36406768	695240	13456418	Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Thriller/Suspense	150000000	133375846	357500000	149914450	Da Vinci Code	45214437	PG-13	for sequences of violence, disturbing images and thematic material	Columbia Pictures	Imagine Entertainment	Brian Grazer Productions	1038686	73929		5.1	70676
2450100	The Departed	2006-10-06	Wide	Warner Bros.	Departed-The	2006	151	0	26887467	3017	3017	26102	11777050	141096054	291761	3063429	Contemporary Fiction	Remake	Live Action	Drama	90000000	132384315	157276304	169639326		158767	R	for strong brutal violence, pervasive language, some strong sexual content and drug material.	Initial Entertainment Group	Plan B Entertainment	Vertigo Films	407887	48516	108	8.5	266675
2500100	Fantastic Four: Rise of the Silver Surfer	2007-06-15	Wide	20th Century Fox	Fantastic-Four-Rise-of-the-Silver-Surfer	2007	91	1	58051684	3959	3963	17742	4297707	67750596			Super Hero	Based on Comic/Graphic Novel	Live Action	Action	120000000	131921738	156293581	161642477	Fantastic Four		PG	for sequences of action violence, some mild language and innuendo	20th Century Fox	Constance Marks Productions	Marvel Studios	486576	53464	1346	5.8	57565
2560100	Get Smart	2008-06-20	Wide	Warner Bros.	Get-Smart	2008	110	0	38683480	3911	3915	21184	2365293	37771284			Contemporary Fiction	Based on TV	Live Action	Comedy	80000000	130319208	96420208	153007096			PG-13	for some rude humor, action violence and language	Village Roadshow Productions	Mosaic Media	Mad Chance	425061	60126	867	6.8	58581
2620100	Borat	2006-11-03	Wide	20th Century Fox	Borat	2006	82	0	26455463	837	2611	15819	4378902	62696374			Contemporary Fiction	Based on TV	Live Action	Comedy	18000000	128505958	132937284	165210803			R	for pervasive strong crude and sexual content including graphic nudity, and language.	Four by Two Films	Everyman Pictures	Dune Entertainment	443453	48385	1117	7.5	122869
2670100	Enchanted	2007-11-21	Wide	Walt Disney	Enchanted	2007	108	0	34440317	3730	3730	25218	5764330	89768168			Fantasy	Original Screenplay	Animation/Live Action	Romantic Comedy	85000000	127706877	212677264	156074310			PG	for some scary images and mild innuendo	Walt Disney Pictures	Barry Sonnenfeld	Josephson Entertainment	461770	56152	771	7.5	55981
2680100	The Curious Case of Benjamin Button	2008-12-25	Wide	Paramount Pictures	Curious-Case-of-Benjamin-Button-The	2008	167	0	26853816	2988	2988	20848	3103371	47743747	105661	1569285	Fantasy	Based on Fiction Book/Short Story	Live Action	Drama	160000000	127509326	202300000	147292846			PG-13	for brief war violence, sexual content, language and smoking	Paramount Pictures	The Kennedy/Marshall Company		421715	64957	346	8	138199
2760100	Bee Movie	2007-11-02	Wide	Paramount Pictures	Bee-Movie	2007	90	0	38021044	3928	3984	25601	6182822	91470581	6860	115708	Kids Fiction	Original Screenplay	Digital Animation	Comedy	150000000	126631277	160963300	155051953			PG	for mild suggestive humor	DreamWorks Animation	Columbus 81 Productions		389790	55768	1747	6.3	30768
2820100	Terminator Salvation	2009-05-21	Wide	Warner Bros.	Terminator-Salvation	2009	116	1	42558390	3530	3602	18039	2369410	30157379	1380375	24146282	Science Fiction	Original Screenplay	Live Action	Action	200000000	125322469	240169323	140862459	Terminator	31607826	PG-13	For intense sequences of sci-fi violence and action, and language	Halcyon Company	Moritz Borman	Wonderland Sound and Vision	438488	68791		6.7	238947
