odid	display_name	release_date	release_pattern	distributor	movie_url	production_year	running_time	sequel	opening_weekend_revenue	opening_weekend_theaters	maximum_theaters	theatrical_engagements	domestic_dvd_units	domestic_dvd_spending	domestic_bluray_units	domestic_bluray_spending	creative_type	source	production_method	genre	production_budget	domestic_box_office	international_box_office	inflation_adjusted_domestic_box_	franchise	video_rental_spending	rating	reason	production_company1	production_company2	production_company3	imdbid	movieId	imdb_moviemeter	imdb_rating	imdb_votes
126540100	The Hobbit: An Unexpected Journey	2012-12-14	Wide	Warner Bros.	Hobbit-An-Unexpected-Journey-The	2012	169	1	84617303	4045	4100	27719	4500451	35539890	3511064	86154709	Fantasy	Based on Fiction Book/Short Story	Animation/Live Action	Adventure	250000000	303003568	714000000	320027095	Peter Jackson's Lord of the Rings	28486403	PG-13	for extended sequences of intense fantasy action violence, and frightening images.	New Line Cinema	Metro-Goldwyn-Mayer Pictures	Wingnut Films	903624	98809		8	499639
126600100	Sherlock Holmes	2009-12-25	Wide	Warner Bros.	Sherlock-Holmes	2009	133	0	62304277	3626	3626	24653	4671189	59111484	1377427	27314889	Historical Fiction	Based on Fiction Book/Short Story	Live Action	Adventure	90000000	209028679	289409533	231041710	Sherlock Holmes	42330422	PG-13	For intense sequences of violence and action, some startling images and a scene of suggestive material	Warner Bros.	Village Roadshow Productions	Silver Pictures	988045	73017		7.6	385195
126650100	Pirates of the Caribbean: On Stranger Tides	2011-05-20	Wide	Walt Disney	Pirates-of-the-Caribbean-On-Stranger-Tides	2011	136	1	90151958	4155	4164	25026	2006486	31461863	2316473	58242695	Fantasy	Based on Theme Park Ride	Live Action	Adventure	250000000	241063875	804600000	256263359	Pirates of the Caribbean	15515380	PG-13	for intense sequences of action/adventure violence, some frightening images, sensuality and innuendo.	Walt Disney Pictures			1298650	86880		6.7	292028
126680100	Furry Vengeance	2010-04-30	Wide	Summit Entertainment	Furry-Vengeance	2010		0	6627564	2997	3002	11288	525810	7363131	17326	449700	Kids Fiction	Original Screenplay	Live Action	Comedy	35000000	17630465	21709712	18837113		17598757	PG	for some rude humor, mild language and brief smoking	Participant Media			492389	77820		3.7	10730
126690100	The Town	2010-09-17	Wide	Warner Bros.	Town-The	2010	123	0	23808032	2861	2935	19795	2561579	34139319	1089016	20600040	Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Drama	37000000	92186262	60380619	98495521		25239399	R	for strong violence, pervasive language, some sexuality and drug use.	Thunder Road Film	GK Films	Legendary Pictures	840361	80489		7.6	243600
128670100	Knight and Day	2010-06-23	Wide	20th Century Fox	Knight-and-Day	2010	109	0	20139985	3098	3104	14364	1755270	22782580	430481	8647104	Contemporary Fiction	Original Screenplay	Live Action	Action	117000000	76423035	182328335	81653511		25907754	PG-13	for sequences of action violence throughout, and brief strong Language	20th Century Fox	Regency Enterprises	Pink Machine	1013743	79185		6.3	124712
128770100	The Other Guys	2010-08-06	Wide	Sony Pictures	Other-Guys-The	2010	97	0	35543162	3651	3651	23733	2369026	38340050	669356	15137536	Contemporary Fiction	Original Screenplay	Live Action	Comedy	100000000	119219978	51716492	127379517		43745223	PG-13	for crude and sexual content, language, violence and some drug material	Gary Sanchez Productions	Mosaic Media	Sony Pictures	1386588	79592		6.6	155716
128830100	The Croods	2013-03-22	Wide	20th Century Fox	Croods-The	2012	98	0	43639736	4046	4065	34796	2747804	47027672	1264491	31345374	Kids Fiction	Original Screenplay	Digital Animation	Adventure	135000000	187168425	385900000	194075005	The Croods	24674582	PG	for some scary action.	DreamWorks Animation			481499	101142		7.3	115997
128880100	Rise of the Guardians	2012-11-21	Wide	Paramount Pictures	Rise-of-the-Guardians	2012	97	0	23773465	3653	3672	25021	2369142	40985310	1189540	24255296	Kids Fiction	Based on Fiction Book/Short Story	Digital Animation	Adventure	145000000	103412758	203488144	109381813		35436552	PG	for thematic elements and some mildly scary action.	DreamWorks Animation	Christina Steinberg		1446192	98243		7.3	97150
128920100	Extraordinary Measures	2010-01-22	Wide	CBS Films	Extraordinary-Measures	2009		0	6012594	2545	2549	6696	357634	6648346	33746	807874	Dramatization	Based on Real Life Events	Live Action	Drama	31000000	12482741	3344243	13337069		14943188	PG	For thematic material, language and a mild suggestive moment	Double Feature Films			1244659	74131		6.5	12973
128940100	Diary of a Wimpy Kid	2010-03-19	Wide	20th Century Fox	Diary-of-a-Wimpy-Kid	2010		0	22126166	3077	3083	19018	2876729	41165423	180380	4199922	Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Comedy	15000000	64003625	12950686	69452544	Diary of a Wimpy Kid	27229651	PG	for some rude humor and language	Walden Media			1196141	77206		6.2	26760
128960100	Predators	2010-07-09	Wide	20th Century Fox	Robert-Rodriguezs-Predators	2010		1	24760882	2669	2669	9641	1491771	23438218	529803	10382648	Science Fiction	Original Screenplay	Live Action	Action	40000000	52000688	75233701	55559668	Predator	18221965	R	for strong creature violence and gore, and pervasive language.				1424381	79057		6.4	150056
129110100	Yogi Bear	2010-12-17	Wide	Warner Bros.	Yogi-Bear	2010	80	0	16411322	3515	3515	26886	1250775	17684022	167547	5084855	Kids Fiction	Based on TV	Animation/Live Action	Adventure	80000000	100246011	104528679	106921079	Yogi Bear	23437635	PG	for some mild rude humor.	Sunswept Entertainment	De Line Pictures	Rhythm and Hues	1302067	83177		4.5	14193
129120100	Underworld: Awakening	2012-01-20	Wide	Sony Pictures	Underworld-4	2011	89	1	25306725	3078	3078	11614	1184926	18287995	485279	9839321	Fantasy	Original Screenplay	Live Action	Action	70000000	62321039	98058891	66000797	Underworld	18104787	R	for strong violence and gore, and for some language.	Screen Gems	Lakeshore Entertainment	Sketch Films	1496025	91974		6.4	97238
129160100	Happy Feet Two	2011-11-18	Wide	Warner Bros.	Happy-Feet-2	2011	99	1	21237068	3606	3611	18485	1504058	22450319	243114	5919879	Kids Fiction	Original Screenplay	Digital Animation	Adventure	135000000	64006466	93950000	68029990	Happy Feet	15793484	PG	for some rude humor and mild peril.	VR Mumble 2 Productions Pty Ltd.			1402488	91386			
129170100	Arthur Christmas	2011-11-23	Wide	Sony Pictures	Arthur-Christmas	2011	100	0	12068931	3376	3376	16380	1054924	13609589	180151	5318537	Kids Fiction	Original Screenplay	Digital Animation	Adventure	85000000	46462469	103254655	49389423		17064492	PG	for some mild rude humor.	Aardman Animations	Columbia Pictures	Sony Pictures Animation	1430607	91414		7.1	28868
129190100	Battle: Los Angeles	2011-03-11	Wide	Sony Pictures	Battle-Los-Angeles	2010	116	0	35573187	3417	3417	15219	943149	14987120	616734	13854172	Science Fiction	Original Screenplay	Live Action	Action	70000000	83552429	129911547	88820545		34723452	PG-13	for sustained and intense sequences of war violence and destruction, and for language.	Columbia Pictures	Relativity Media	Original Film	1217613	85131		5.8	141815
129200100	Step Up 3D	2010-08-06	Wide	Walt Disney	Step-Up-3D	2010	97	1	15812311	2435	2439	8505	891793	12647415	157811	4824006	Contemporary Fiction	Original Screenplay	Live Action	Drama	30000000	42400223	123488894	45302137	Step Up	14333401	PG-13	for brief strong language	Touchstone Pictures	Summit Entertainment	Offspring Entertainment	1193631	80222		6.2	39114
129750100	The American	2010-09-01	Wide	Focus Features	American-The	2010	103	0	13177790	2823	2833	10238	535284	8166990	107126	2683449	Contemporary Fiction	Original Screenplay	Live Action	Thriller/Suspense	20000000	35606376	32344347	38043309		9846585	R	for violence, sexual content and nudity.	Greenlit Productions	This is That	Smokehouse Pictures	1440728	80126		6.3	70731
129760100	300	2007-03-09	Wide	Warner Bros.	300	2007	115	0	70885301	3103	3280	22377	13511462	276498131	654554	7167655	Historical Fiction	Based on Comic/Graphic Novel	Animation/Live Action	Action	60000000	210614939	243546996	258037141	300	170798	R	for graphic battle sequences throughout, some sexuality and nudity.	Legendary Pictures			416449	51662	125	7.8	236875
129820100	American Gangster	2007-11-02	Wide	Universal	American-Gangster	2007	157	0	43565135	3054	3111	19843	4770197	79597859	110972	1095757	Dramatization	Based on Factual Book/Article	Live Action	Drama	100000000	130164645	137820811	159437618			R	for violence, pervasive drug content and language, nudity and sexuality	Relativity Media	Imagine Entertainment		765429	55765	607	7.9	114688
129860100	10,000 B.C.	2008-03-07	Wide	Warner Bros.	10-000-B-C	2008	109	0	35867488	3410	3454	19930	1783101	27300295			Historical Fiction	Original Screenplay	Live Action	Adventure	105000000	94784201	174281477	111285627			PG-13	for sequences of intense action and violence	Centropolis Entertainment	Legendary Pictures	Warner Bros.	443649	58293	854	4.9	46924
129900100	21	2008-03-28	Wide	Sony Pictures	21	2008	122	0	0	0	2952	17574	1845961	28130113			Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Thriller/Suspense	35000000	81159365	76693167	95288775			PG-13	for some violence, and sexual content including partial nudity	Relativity Media	Columbia Pictures	Trigger Street Productions	478087	58803	686	6.7	61392
129930100	27 Dresses	2008-01-18	Wide	20th Century Fox	27-Dresses	2008	111	0	23007725	3057	3074	17858	3523555	51603954			Contemporary Fiction	Original Screenplay	Live Action	Romantic Comedy	30000000	76806312	83439151	90180633			PG-13	for language, some innuendo and sexuality	Spyglass Entertainment	Fox 2000 Pictures	Birnbaum/Barber	988595	56949	553	6.1	28867
129960100	1408	2007-06-22	Wide	MGM	1408	2007	104	0	20617667	2678	2733	14140	2181945	49766172			Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Horror	22500000	71975611	59277742	88191044			R	for thematic material including disturbing sequences of violence and terror, frightening images and language.				450385	53953	1055	6.9	73412
130050100	3:10 to Yuma	2007-09-07	Wide	Lionsgate	310-to-Yuma	2007	122	0	14035033	2652	3006	16942	3128040	56722232	181189	1766744	Historical Fiction	Remake	Live Action	Western	48000000	53606916	17564909	65684048			R	for violence and some language	Relativity Media	Tree Line Film		381849	54997	819	7.9	98967
130090100	Apocalypto	2006-12-08	Wide	Walt Disney	Apocalypto	2006	138	0	15005604	2465	2465	11586	2685601	43440938			Historical Fiction	Original Screenplay	Live Action	Adventure	40000000	50866635	70165637	64959548			R	for sequences of graphic violence and disturbing images	Icon Distribution, Inc.			472043	48304	1000	7.9	82622
